datetime,light,twilight,interp,excluded
2018-06-13T14:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T15:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T16:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T17:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T18:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T19:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T20:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T21:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T22:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T23:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T23:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T23:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T23:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T23:22:31.000Z,1.136,0,FALSE,FALSE
